Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Double Eyeglass Case - 1009,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/tooled-rose-pearl-white/products/leather-double-eyeglass-case-1009-tlr-plw,Which art style inspires you most?,Colorful splashes,Leopard Luxe,Intricate mosaics,Roaring Majesty,Bohemian patterns,Earth Song,Elegant paisleys,Earth Song
Zip-Top Shoulder Hobo - 707,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/tooled-rose-pearl-white/products/leather-zip-top-shoulder-hobo-707-tlr-plw,Your favorite city vibe is:,Futuristic and visionary,Color Mirage,Classic old,Flutter Charm,Trendy and nostalgic,Metamorph Muse,Modern city nightlife,Mystic Mosaic
Large Zip Top Tote - 698,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/tooled-rose-pearl-white/products/leather-large-zip-top-tote-698-tlr-plw,Which bag style attracts you most?,Sleek and modern,Celestial Wings,Antique leather satchel,Vintage Charm,Funky retro prints,Savannah Spirit,Edgy futuristic designs,Flutter Charm
Large Zip Top Tote - 698,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/tooled-rose-teal/products/leather-large-zip-top-tote-698-tlr-tel,Pick a season you love most:,Spring 🌸,City Lights,Summer 🌞,Dreamscape Urbanite,Autumn 🍂,Gentle Guardian,Winter ❄️,Crimson Blossom
Two Fold Organizer Wallet - 1178,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/tooled-rose-teal/products/leather-two-fold-organizer-wallet-1178-tlr-tel,"If you had wings, how would you use them?",To glide peacefully above nature,Camellia Grace,To explore galaxies beyond Earth,Flutter Charm,To dance among flowers in freedom,Mystic Mosaic,To transform and start anew,Roaring Majesty
4 in 1 Organizer Crossbody - 711,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/tooled-rose-teal/products/leather-4-in-1-organizer-crossbody-711-tlr-tel,Which scenery feels most calming to you?,A blooming spring garden 🌷,Earth Song,A field of wild roses under sunset 🌹,Enchanted Rose,A misty meadow with dew,Wilderness Whisper,A vintage botanical greenhouse 🌼,Enchanted Rose
Zip-Top Shoulder Hobo - 707,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/tooled-rose-teal/products/leather-zip-top-shoulder-hobo-707-tlr-tel,"If your personality was a painting, it would be:",Bold and expressive abstract,Roaring Majesty,Geometric and structured mosaic,Metamorph Muse,Free,Paisley Muse,Delicate and detailed paisley,Dreamscape Urbanite
Painted Leather Bag Charm K0034 - Keycharms,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/art-tranquil-pond/products/leather-painted-leather-bag-charm-k0034-tqp,Your dream vacation spot is:,A tropical island 🏝️,Crimson Blossom,Caribbean beaches 🏖️,Flutter Charm,A quiet ocean cliff 🌊,Crimson Blossom,A deep forest retreat 🌿,Dreamscape Urbanite
Mini Double Zip Travel Crossbody - 448,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/art-tranquil-pond/products/leather-mini-double-zip-travel-cross-body-448-tqp,Your favorite city vibe is:,Futuristic and visionary,Petal Muse,Classic old,Wolf Moon,Trendy and nostalgic,Vintage Charm,Modern city nightlife,Color Mirage
RFID Blocking Card Case with Coin Pouch - 1140,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/art-tranquil-pond/products/leather-rfid-blocking-card-case-with-coin-pouch-1140-tqp,What type of adventure excites you most?,A jungle safari 🐆,Gentle Guardian,Climbing a mountain 🏔️,Sacred Elephant,Exploring an enchanted forest 🌲,Gentle Guardian,Leading an expedition 🦁,Wilderness Whisper
Organizer Crossbody With Extended Side Zipper - 493,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/art-tranquil-pond/products/leather-organizer-crossbody-with-extended-side-zipper-493-tqp,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Petal Muse,An elephant with a lotus 🐘,Dreamscape Urbanite,A guardian dog 🐕,Flutter Charm,A mystical owl 🦉,Savannah Spirit
Tall Tote With Double Handle - 609,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/art-tranquil-pond/products/leather-tall-tote-with-double-handle-609-tqp,Your favorite city vibe is:,Futuristic and visionary,Camellia Grace,Classic old,Ethereal Bloom,Trendy and nostalgic,Savannah Spirit,Modern city nightlife,Petal Muse
Crossbody Bag - 7608,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/tropical-paradise-taupe/products/leather-crossbody-bag-7608-trp-tau,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Petal Muse,Bold and fiery rose prints,Ocean Mist,Soft watercolor blossoms,Wolf Moon,Dark romantic florals,Ethereal Bloom
Multi Compartment Satchel - 690,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/underwater-beauty/products/leather-hand-painted-multi-compartment-satchel-690-und,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Vintage Charm,An elephant with a lotus 🐘,Dreamscape Urbanite,A guardian dog 🐕,Crimson Blossom,A mystical owl 🦉,Paisley Muse
Three Fold Wallet - 1150,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-three-fold-wallet-1150-und,Your favorite city vibe is:,Futuristic and visionary,Boho Spirit,Classic old,Angel Aura,Trendy and nostalgic,Ethereal Bloom,Modern city nightlife,Angel Aura
Medium Zip-Around Eyeglass/Cosmetic Pouch - 1163,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-medium-zip-around-eyeglass-cosmetic-pouch-1163-und,What quality do you value most?,Protection and care,Retro Muse,Wisdom and calmness,Camellia Grace,Playfulness and joy,Metamorph Muse,Strength with compassion,Metamorph Muse
Medium Zip Pouch - 1107,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-medium-zip-pouch-1107-und,What’s your go-to mood on weekends?,Relaxing with nature,Retro Muse,Partying in the city,Savannah Spirit,Exploring something new,Paisley Muse,Staying cozy at home,Angel Aura
Canteen Crossbody - 7558,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-canteen-crossbody-7558-und,What color palette do you prefer for accessories?,Aqua blues and sea greens,Camellia Grace,Bright island colors,Roaring Majesty,Soft sandy tones,Crimson Blossom,Earthy browns and greens,Dreamscape Urbanite
Card Holder with Wristlet - 1180,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-card-holder-with-wristlet-1180-und,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Metamorph Muse,An elephant with a lotus 🐘,Sacred Elephant,A guardian dog 🐕,Angel Aura,A mystical owl 🦉,Caribbean Dreamer
Airpod Pro Case - 1179,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/underwater-beauty/products/leather-airpod-pro-case-1179-und,Which wild animal do you relate to most?,Leopard,Camellia Grace,Lion,Angel Aura,Deer,Winged Serenity,Wolf,Ocean Mist
4 in 1 Organizer Crossbody - 711,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-4-in-1-organizer-crossbody-711-und,Which bag style attracts you most?,Sleek and modern,Winged Serenity,Antique leather satchel,Petal Muse,Funky retro prints,Petal Muse,Edgy futuristic designs,Sacred Elephant
Medium Everyday Tote - 710,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-medium-everyday-tote-710-und,What color palette do you prefer for accessories?,Aqua blues and sea greens,Savannah Spirit,Bright island colors,Wolf Moon,Soft sandy tones,Boho Spirit,Earthy browns and greens,Roaring Majesty
Small Convertible Hobo - 701,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-hand-painted-small-convertible-hobo-701-und,Which element resonates with your soul?,Air,Retro Muse,Light,Vintage Charm,Movement,Crimson Blossom,Growth,Camellia Grace
Slim Crossbody With Front Zip - 452,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/underwater-beauty/products/leather-hand-painted-slim-crossbody-with-front-zip-452-und,Which wild animal do you relate to most?,Leopard,Flutter Charm,Lion,Leopard Luxe,Deer,Ethereal Bloom,Wolf,Tropical Breeze
Triple Compartment Crossbody Organizer - 412,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/underwater-beauty/products/leather-hand-painted-triple-compartment-crossbody-organizer-412-und,Which art style inspires you most?,Colorful splashes,Flutter Charm,Intricate mosaics,Wolf Moon,Bohemian patterns,Flutter Charm,Elegant paisleys,Savannah Spirit
Slim Crossbody With Front Zip - 452,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/art-venetian-story/products/leather-slim-cross-body-with-front-zip-452-vns,"If you had wings, how would you use them?",To glide peacefully above nature,Caribbean Dreamer,To explore galaxies beyond Earth,Vintage Charm,To dance among flowers in freedom,Wilderness Whisper,To transform and start anew,Tropical Breeze
Expandable Travel Crossbody - 550,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/art-vintage-bike/products/leather-expandable-travel-crossbody-550-vtb,What type of adventure excites you most?,A jungle safari 🐆,Flutter Charm,Climbing a mountain 🏔️,Winged Serenity,Exploring an enchanted forest 🌲,Paisley Muse,Leading an expedition 🦁,Camellia Grace
Accordion Style Credit And Business Card Holder - 2083,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/art-vintage-bike/products/leather-accordion-style-credit-and-business-card-holder-2083-vtb,Which bag style attracts you most?,Sleek and modern,Enchanted Rose,Antique leather satchel,Sacred Elephant,Funky retro prints,Celestial Wings,Edgy futuristic designs,Enchanted Rose
Satchel Bag - 7614,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/art-vintage-bike/products/leather-satchel-bag-7614-vtb,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Roaring Majesty,An elephant with a lotus 🐘,Tropical Breeze,A guardian dog 🐕,Sacred Elephant,A mystical owl 🦉,Roaring Majesty
Cell Phone Case & Wallet - 1113,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/art-vintage-bouquet/products/leather-cell-phone-case-wallet-1113-vbq,"If your personality was a painting, it would be:",Bold and expressive abstract,Winged Serenity,Geometric and structured mosaic,Color Mirage,Free,Dreamscape Urbanite,Delicate and detailed paisley,Dreamscape Urbanite
Tall Tote With Double Handle - 609,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/art-vintage-bouquet/products/leather-tall-tote-with-double-handle-609-vbq,"If you had wings, how would you use them?",To glide peacefully above nature,Roaring Majesty,To explore galaxies beyond Earth,City Lights,To dance among flowers in freedom,Color Mirage,To transform and start anew,Petal Muse
Clasp Pouch With Key Fobs - 1177,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/vintage-floral/products/leather-clasp-pouch-with-key-fobs-1177-vfl,Which wild animal do you relate to most?,Leopard,Angel Aura,Lion,Retro Muse,Deer,Gentle Guardian,Wolf,Playful Paws
Medium Zip Pouch - 1107,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/vintage-floral/products/leather-medium-zip-pouch-1107-vfl,What quality do you value most?,Protection and care,Boho Spirit,Wisdom and calmness,Earth Song,Playfulness and joy,Wilderness Whisper,Strength with compassion,Crimson Blossom
Large Zip Top Tote - 698,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/vintage-floral/products/leather-large-zip-top-tote-698-vfl,Which wild animal do you relate to most?,Leopard,Crimson Blossom,Lion,Petal Muse,Deer,Retro Muse,Wolf,Flutter Charm
Twin Top Messenger - 704,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/vintage-floral/products/leather-twin-top-messenger-704-vfl,Your dream vacation spot is:,A tropical island 🏝️,Color Mirage,Caribbean beaches 🏖️,Camellia Grace,A quiet ocean cliff 🌊,Camellia Grace,A deep forest retreat 🌿,Vintage Charm
Multi Compartment Satchel - 690,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/vintage-floral/products/leather-multi-compartment-satchel-690-vfl,What type of adventure excites you most?,A jungle safari 🐆,Angel Aura,Climbing a mountain 🏔️,Paisley Muse,Exploring an enchanted forest 🌲,Celestial Wings,Leading an expedition 🦁,Metamorph Muse
Two Fold Organizer Wallet - 1178,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/vintage-floral/products/leather-two-fold-organizer-wallet-1178-vfl,Your favorite city vibe is:,Futuristic and visionary,Winged Serenity,Classic old,Retro Muse,Trendy and nostalgic,Earth Song,Modern city nightlife,Retro Muse
Zip-Top Shoulder Hobo - 707,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/vintage-floral/products/leather-zip-top-shoulder-hobo-707-vfl,What quality do you value most?,Protection and care,Caribbean Dreamer,Wisdom and calmness,Mystic Mosaic,Playfulness and joy,Color Mirage,Strength with compassion,Gentle Guardian
Three Fold Clutch - 1136,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/vintage-floral/products/leather-three-fold-clutch-1136-vfl,What color palette do you prefer for accessories?,Aqua blues and sea greens,Paisley Muse,Bright island colors,Earth Song,Soft sandy tones,Vintage Charm,Earthy browns and greens,Wilderness Whisper
Cell Phone Case & Wallet - 1113,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/vintage-floral/products/leather-cell-phone-case-wallet-1113-vfl,Which scenery feels most calming to you?,A blooming spring garden 🌷,Metamorph Muse,A field of wild roses under sunset 🌹,Tropical Breeze,A misty meadow with dew,Angel Aura,A vintage botanical greenhouse 🌼,Petal Muse
Slim Crossbody With Front Zip - 452,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/vintage-floral/products/leather-slim-crossbody-with-front-zip-452-vfl,What type of adventure excites you most?,A jungle safari 🐆,Ocean Mist,Climbing a mountain 🏔️,Caribbean Dreamer,Exploring an enchanted forest 🌲,Roaring Majesty,Leading an expedition 🦁,Sacred Elephant
